"id","time","address","isp","country","rdns","screenx","screeny","user_agent","timestamps","path"
"1074","2022-05-05 06:44:36","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1073","2022-05-05 06:44:28","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1072","2022-05-05 06:44:21","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1071","2022-05-05 06:44:16","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1070","2022-05-05 06:44:16","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1069","2022-05-05 06:44:10","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1068","2022-05-05 06:44:03","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1067","2022-05-05 06:44:03","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1066","2022-05-05 06:43:59","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1065","2022-05-05 06:43:57","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1064","2022-05-05 06:43:53","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1063","2022-05-05 06:43:50","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1062","2022-05-05 06:43:33","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1061","2022-05-05 06:43:26","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1060","2022-05-05 06:43:25","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1059","2022-05-05 06:43:23","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1058","2022-05-05 06:43:21","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1057","2022-05-05 06:43:19","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1056","2022-05-05 06:43:11","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1055","2022-05-05 06:43:09","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1054","2022-05-05 06:43:07","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1053","2022-05-05 06:43:03","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1052","2022-05-05 06:43:01","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1051","2022-05-05 06:43:00","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1050","2022-05-05 06:42:51","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1049","2022-05-05 06:42:49","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1048","2022-05-05 06:42:46","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1047","2022-05-05 06:42:42","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1046","2022-05-05 06:42:37","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1045","2022-05-05 06:42:35","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1044","2022-05-05 06:42:30","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1043","2022-05-05 06:42:27","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1042","2022-05-05 06:42:23","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1041","2022-05-05 06:42:09","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1040","2022-05-05 06:42:07","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1039","2022-05-05 06:42:07","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1038","2022-05-05 06:42:04","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1037","2022-05-05 06:42:01","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1036","2022-05-05 06:41:59","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1035","2022-05-05 06:41:51","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
"1034","2022-05-05 06:41:39","195.250.80.10","GNC-Alfa CJSC","Armenia","195.250.80.10","1536","864","Apache-HttpClient/4.5.12 (Java/1.8.0_321)",",3.7,21.8,27.9,29.3",NULL
